"ID","Family.Name","scientificName"
"1",172,"Asteraceae","Achillea millefolium var. occidentalis"
"17",215,"Asteraceae","Agoseris aurantiaca var. aurantiaca"
"69",32,"Asteraceae","Agoseris aurantiaca var. purpurea"
"106",381,"Asteraceae","Agoseris glauca var. dasycephala"
"170",158,"Alliaceae","Allium geyeri var. geyeri"
"176",158,"Liliaceae","Allium geyeri var. geyeri"
"197",157,"Liliaceae","Allium geyeri var. tenerum"
"198",157,"Alliaceae","Allium geyeri var. tenerum"
"213",157,"Amaryllidaceae","Allium geyeri var. tenerum"
"216",146,"Caryophyllaceae","Arenaria fendleri var. fendleri"
"221",354,"Asteraceae","Artemisia arctica ssp. arctica"
"224",270,"Asteraceae","Artemisia campestris ssp. borealis"
"228",87,"Fabaceae","Astragalus alpinus var. alpinus"
"288",288,"Fabaceae","Astragalus robbinsii"
"301",434,"Poaceae","Calamagrostis canadensis var. canadensis"
"324",426,"Brassicaceae","Cardamine cordifolia var. cordifolia"
"410",95,"Brassicaceae","Cardamine cordifolia var. incana"
"426",419,"Cyperaceae","Carex aquatilis var. aquatilis"
"475",113,"Cyperaceae","Carex heteroneura var. chalciolepis"
"530",209,"Cyperaceae","Carex pyrenaica"
"575",88,"Cyperaceae","Carex pyrenaica ssp. pyrenaica"
"592",101,"Cyperaceae","Carex rupestris var. drummondiana"
"607",225,"Cyperaceae","Carex scopulorum var. scopulorum"
"697",337,"Caryophyllaceae","Cerastium arvense"
"820",70,"Rosaceae","Dasiphora fruticosa ssp. floribunda"
"821",126,"Brassicaceae","Draba breweri"
"843",110,"Brassicaceae","Draba breweri var. cana"
"850",122,"Brassicaceae","Draba fladnizensis var. pattersonii"
"885",461,"Brassicaceae","Draba spectabilis var. oxyloba"
"898",307,"Rosaceae","Dryas octopetala"
"924",259,"Poaceae","Elymus trachycaulus ssp. trachycaulus"
"941",177,"Asteraceae","Erigeron peregrinus"
"986",51,"Asteraceae","Erigeron peregrinus ssp. callianthemus"
"1031",19,"Asteraceae","Erigeron simplex"
"1189",303,"Brassicaceae","Erysimum capitatum var. capitatum"
"1220",230,"Brassicaceae","Erysimum capitatum var. purshii"
"1233",74,"Poaceae","Festuca brachyphylla"
"1312",481,"Poaceae","Festuca saximontana"
"1336",305,"Gentianaceae","Gentianella amarella"
"1380",386,"Rosaceae","Geum rossii"
"1430",278,"Saxifragaceae","Heuchera parvifolia var. nivalis"
"1448",64,"Asteraceae","Hieracium gracile var. gracile"
"1465",371,"Liliaceae","Lloydia serotina var. serotina"
"1543",410,"Caprifoliaceae","Lonicera involucrata var. involucrata"
"1579",200,"Fabaceae","Lupinus argenteus var. rubricaulis"
"1595",221,"Boraginaceae","Mertensia ciliata var. ciliata"
"1704",40,"Boraginaceae","Mertensia oblongifolia"
"1738",165,"Apiaceae","Oreoxis alpina"
"1798",285,"Apiaceae","Oreoxis alpina ssp. alpina"
"1814",47,"Asteraceae","Packera dimorphophylla"
"1890",420,"Asteraceae","Packera dimorphophylla var. dimorphophylla"
"1998",326,"Asteraceae","Packera tridenticulata"
"2058",436,"Saxifragaceae","Parnassia fimbriata var. fimbriata"
"2059",436,"Parnassiaceae","Parnassia fimbriata var. fimbriata"
"2083",75,"Orobanchaceae","Pedicularis bracteosa"
"2084",75,"Scrophulariaceae","Pedicularis bracteosa"
"2095",332,"Scrophulariaceae","Pedicularis racemosa"
"2096",332,"Orobanchaceae","Pedicularis racemosa"
"2114",34,"Boraginaceae","Phacelia sericea"
"2117",34,"Hydrophyllaceae","Phacelia sericea"
"2190",290,"Hydrophyllaceae","Phacelia sericea ssp. sericea"
"2223",195,"Pinaceae","Picea engelmannii"
"2277",480,"Poaceae","Poa arctica ssp. arctica"
"2302",483,"Poaceae","Poa arctica ssp. grayana"
"2338",105,"Poaceae","Poa arida"
"2363",239,"Poaceae","Poa cusickii ssp. epilis"
"2388",184,"Poaceae","Poa glauca ssp. rupicola"
"2428",348,"Poaceae","Poa nervosa"
"2438",348,"Polygonaceae","Poa nervosa"
"2446",395,"Polemoniaceae","Polemonium pulcherrimum"
"2472",236,"Rosaceae","Potentilla diversifolia var. diversifolia"
"2670",316,"Rosaceae","Potentilla nivea var. nivea"
"2694",226,"Asteraceae","Pyrrocoma clementis var. clementis"
"2706",459,"Ranunculaceae","Ranunculus alismifolius"
"2719",314,"Ranunculaceae","Ranunculus eschscholtzii"
"2742",311,"Ranunculaceae","Ranunculus inamoenus"
"2772",233,"Crassulaceae","Rhodiola integrifolia ssp. integrifolia"
"2777",120,"Salicaceae","Salix arctica"
"2809",383,"Salicaceae","Salix brachycarpa"
"2879",261,"Salicaceae","Salix glauca ssp. glauca"
"2900",306,"Saxifragaceae","Saxifraga bronchialis"
"2930",1,"Saxifragaceae","Saxifraga flagellaris"
"2958",92,"Asteraceae","Senecio amplectens var. amplectens"
"3025",154,"Asteraceae","Senecio amplectens var. holmii"
"3127",3,"Asteraceae","Senecio bigelovii var. bigelovii"
"3128",62,"Asteraceae","Senecio fremontii"
"3189",180,"Caryophyllaceae","Silene acaulis var. subacaulescens"
"3224",65,"Caryophyllaceae","Silene drummondii var. drummondii"
"3243",486,"Caryophyllaceae","Silene drummondii var. striata"
"3295",28,"Brassicaceae","Smelowskia calycina"
"3367",139,"Brassicaceae","Smelowskia calycina var. americana"
"3490",176,"Caryophyllaceae","Stellaria longipes"
"3492",176,"Alsinaceae","Stellaria longipes"
"3544",143,"Asteraceae","Symphyotrichum foliaceum var. foliaceum"
"3549",23,"Asteraceae","Tetraneuris acaulis"
"3595",435,"Fabaceae","Trifolium brandegeei"
"3627",269,"Fabaceae","Trifolium parryi ssp. parryi"
"3658",352,"Caprifoliaceae","Valeriana acutiloba var. acutiloba"
"3668",352,"Valerianaceae","Valeriana acutiloba var. acutiloba"
"3710",362,"Valerianaceae","Valeriana capitata"
"3721",246,"Caprifoliaceae","Valeriana edulis var. edulis"
"3734",246,"Valerianaceae","Valeriana edulis var. edulis"
"3790",478,"Plantaginaceae","Veronica wormskjoldii var. wormskjoldii"
"3792",466,"Violaceae","Viola labradorica"
"3868",238,"Liliaceae","Zigadenus elegans ssp. elegans"
